,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,neighborhood,latitude,longitude,showAddress,url,status,newDevelopment,hasLift,geometry
8924,1,3900.0,flat,rent,227.0,True,4,4,barrio Almagro,Madrid,Madrid,Chamberí,Almagro,40.4280629,-3.6919546,False,https://www.idealista.com/inmueble/85922538/,good,False,True,"{'type': 'Point', 'coordinates': (40.4280629, -3.6919546)}"
8925,1,2300.0,flat,rent,43.0,True,1,1,"Avenida de Alberto de Alcocer, 41",Madrid,Madrid,Chamartín,Nueva España,40.4588715,-3.6808137,True,https://www.idealista.com/inmueble/85878880/,good,False,True,"{'type': 'Point', 'coordinates': (40.4588715, -3.6808137)}"
8926,4,2200.0,flat,rent,43.0,True,1,1,"Calle Serrano, 213",Madrid,Madrid,Chamartín,Bernabéu-Hispanoamérica,40.4542219,-3.6792399,True,https://www.idealista.com/inmueble/85878050/,good,False,True,"{'type': 'Point', 'coordinates': (40.4542219, -3.6792399)}"
8928,5,4100.0,flat,rent,240.0,True,4,4,barrio Recoletos,Madrid,Madrid,Salamanca,Recoletos,40.4244538,-3.6866242,False,https://www.idealista.com/inmueble/85784510/,good,False,True,"{'type': 'Point', 'coordinates': (40.4244538, -3.6866242)}"
8930,2,1200.0,flat,rent,75.0,False,3,1,"Blasco de Garay, 18",Madrid,Madrid,Chamberí,Arapiles,40.4314084,-3.7116545,True,https://www.idealista.com/inmueble/85734127/,good,False,True,"{'type': 'Point', 'coordinates': (40.4314084, -3.7116545)}"
8931,2,2300.0,flat,rent,135.0,True,3,2,barrio Castellana,Madrid,Madrid,Salamanca,Castellana,40.427347,-3.6832712,False,https://www.idealista.com/inmueble/85699462/,good,False,True,"{'type': 'Point', 'coordinates': (40.427347, -3.6832712)}"
8932,5,4100.0,flat,rent,276.0,True,4,4,barrio Recoletos,Madrid,Madrid,Salamanca,Recoletos,40.4227538,-3.6866242,False,https://www.idealista.com/inmueble/85550176/,good,False,True,"{'type': 'Point', 'coordinates': (40.4227538, -3.6866242)}"
8934,2,1425.0,flat,rent,142.0,True,3,2,"Isabel Clara Eugenia, 62",Madrid,Madrid,Hortaleza,Sanchinarro,40.4969659,-3.6569479,True,https://www.idealista.com/inmueble/85165687/,good,False,True,"{'type': 'Point', 'coordinates': (40.4969659, -3.6569479)}"
8935,0,2900.0,duplex,rent,165.0,True,3,3,barrio El Viso,Madrid,Madrid,Chamartín,El Viso,40.448094,-3.6815049,False,https://www.idealista.com/inmueble/85161347/,good,False,True,"{'type': 'Point', 'coordinates': (40.448094, -3.6815049)}"
8936,8,1250.0,flat,rent,139.0,True,1,2,barrio Peñagrande,Madrid,Madrid,Fuencarral,Peñagrande,40.4803855,-3.7356396,False,https://www.idealista.com/inmueble/85144873/,good,False,True,"{'type': 'Point', 'coordinates': (40.4803855, -3.7356396)}"
8937,7,5500.0,flat,rent,180.0,True,3,3,barrio Recoletos,Madrid,Madrid,Salamanca,Recoletos,40.4238514,-3.6819853,False,https://www.idealista.com/inmueble/36766449/,good,False,True,"{'type': 'Point', 'coordinates': (40.4238514, -3.6819853)}"
8939,3,1000.0,flat,rent,75.0,True,2,1,barrio Rejas,Madrid,Madrid,San Blas,Rejas,40.4466965,-3.5428174,False,https://www.idealista.com/inmueble/84995948/,good,False,True,"{'type': 'Point', 'coordinates': (40.4466965, -3.5428174)}"
8940,4,2300.0,flat,rent,210.0,False,4,3,barrio Lista,Madrid,Madrid,Salamanca,Lista,40.4358229,-3.6796187,False,https://www.idealista.com/inmueble/84885373/,good,False,True,"{'type': 'Point', 'coordinates': (40.4358229, -3.6796187)}"
8941,2,2000.0,flat,rent,85.0,False,2,2,barrio Jerónimos,Madrid,Madrid,Retiro,Jerónimos,40.4061359,-3.6894774,False,https://www.idealista.com/inmueble/84740745/,good,False,False,"{'type': 'Point', 'coordinates': (40.4061359, -3.6894774)}"
8942,0,900.0,flat,rent,85.0,True,3,1,Calle Voluntarios Catalanes,Madrid,Madrid,Tetuán,Valdeacederas,40.4642882,-3.7004566,False,https://www.idealista.com/inmueble/84737119/,good,False,False,"{'type': 'Point', 'coordinates': (40.4642882, -3.7004566)}"
8943,2,2400.0,flat,rent,202.0,True,2,2,Corredera Baja de San Pablo,Madrid,Madrid,Centro,Malasaña-Universidad,40.4216544,-3.7042076,False,https://www.idealista.com/inmueble/84543003/,good,False,True,"{'type': 'Point', 'coordinates': (40.4216544, -3.7042076)}"
8944,3,3000.0,flat,rent,217.0,True,2,2,"Corredera Baja de San Pablo, Madrid",Madrid,Madrid,Centro,Malasaña-Universidad,40.4242544,-3.7037076,False,https://www.idealista.com/inmueble/84542585/,good,False,True,"{'type': 'Point', 'coordinates': (40.4242544, -3.7037076)}"
8945,1,2600.0,flat,rent,169.0,True,3,2,"Corredera Baja de San Pablo, Madrid",Madrid,Madrid,Centro,Malasaña-Universidad,40.4215544,-3.7041076,False,https://www.idealista.com/inmueble/84541826/,good,False,True,"{'type': 'Point', 'coordinates': (40.4215544, -3.7041076)}"
8946,3,2300.0,flat,rent,156.0,True,2,2,Corredera Baja de San Pablo,Madrid,Madrid,Centro,Malasaña-Universidad,40.4221544,-3.7012076,False,https://www.idealista.com/inmueble/84541512/,good,False,True,"{'type': 'Point', 'coordinates': (40.4221544, -3.7012076)}"
8947,2,2300.0,flat,rent,161.0,True,3,2,"Corredera Baja de San Pablo, Madrid",Madrid,Madrid,Centro,Malasaña-Universidad,40.4218544,-3.7030076,False,https://www.idealista.com/inmueble/84541069/,good,False,True,"{'type': 'Point', 'coordinates': (40.4218544, -3.7030076)}"
8948,2,2600.0,flat,rent,146.0,True,2,2,"Corredera Baja de San Pablo, Madrid",Madrid,Madrid,Centro,Malasaña-Universidad,40.4213544,-3.7011076,False,https://www.idealista.com/inmueble/84540612/,good,False,True,"{'type': 'Point', 'coordinates': (40.4213544, -3.7011076)}"
8949,1,2500.0,flat,rent,146.0,True,2,2,"Corredera Baja de San Pablo, Madrid",Madrid,Madrid,Centro,Malasaña-Universidad,40.4224544,-3.7036076,False,https://www.idealista.com/inmueble/84538516/,good,False,True,"{'type': 'Point', 'coordinates': (40.4224544, -3.7036076)}"
8950,1,2500.0,flat,rent,146.0,True,2,2,"Corredera Baja de San Pablo, Madrid",Madrid,Madrid,Centro,Malasaña-Universidad,40.4224544,-3.7036076,False,https://www.idealista.com/inmueble/84538516/,good,False,True,"{'type': 'Point', 'coordinates': (40.4224544, -3.7036076)}"
8951,0,2800.0,flat,rent,158.0,True,3,2,"Calle Corredera Baja de San Pablo, Madrid",Madrid,Madrid,Centro,Malasaña-Universidad,40.4241544,-3.7018076,False,https://www.idealista.com/inmueble/84530731/,good,False,True,"{'type': 'Point', 'coordinates': (40.4241544, -3.7018076)}"
8954,2,5000.0,flat,rent,460.0,True,5,5,barrio Almagro,Madrid,Madrid,Chamberí,Almagro,40.4361322,-3.6953195,False,https://www.idealista.com/inmueble/84328734/,good,False,True,"{'type': 'Point', 'coordinates': (40.4361322, -3.6953195)}"
8956,7,2400.0,flat,rent,60.0,True,1,1,"Calle de Francisco Silvela, Madrid, 27",Madrid,Madrid,Salamanca,Lista,40.4313035,-3.6718719,True,https://www.idealista.com/inmueble/84205948/,good,False,True,"{'type': 'Point', 'coordinates': (40.4313035, -3.6718719)}"
8957,4,750.0,flat,rent,50.0,True,1,1,"Calle Samaniego, 12",Madrid,Madrid,San Blas,Rejas,40.4440151,-3.5821257,True,https://www.idealista.com/inmueble/84104040/,good,False,True,"{'type': 'Point', 'coordinates': (40.4440151, -3.5821257)}"
8958,5,3000.0,flat,rent,210.0,True,2,3,"Calle Edgar Neville, Madrid, 18",Madrid,Madrid,Tetuán,Cuatro Caminos,40.448586,-3.6965183,True,https://www.idealista.com/inmueble/83718028/,good,False,True,"{'type': 'Point', 'coordinates': (40.448586, -3.6965183)}"
8960,2,720.0,flat,rent,55.0,False,1,1,barrio Rejas,Madrid,Madrid,San Blas,Rejas,40.4446965,-3.5453174,False,https://www.idealista.com/inmueble/83088495/,good,False,True,"{'type': 'Point', 'coordinates': (40.4446965, -3.5453174)}"
8961,11,2300.0,flat,rent,153.0,True,3,2,"Calle de José Antonio Corrales, Madrid, 13",Madrid,Madrid,Hortaleza,Valdebebas - Valdefuentes,40.4858618,-3.6158373,True,https://www.idealista.com/inmueble/82769734/,good,False,True,"{'type': 'Point', 'coordinates': (40.4858618, -3.6158373)}"
8962,3,6000.0,flat,rent,355.0,True,5,5,barrio Recoletos,Madrid,Madrid,Salamanca,Recoletos,40.4266366,-3.6791881,False,https://www.idealista.com/inmueble/81786902/,good,False,True,"{'type': 'Point', 'coordinates': (40.4266366, -3.6791881)}"
8963,3,1500.0,flat,rent,105.0,True,2,2,"Calle Rosario Pino, 12",Madrid,Madrid,Tetuán,Cuzco-Castillejos,40.4622813,-3.6923779,True,https://www.idealista.com/inmueble/30015696/,good,False,True,"{'type': 'Point', 'coordinates': (40.4622813, -3.6923779)}"
8964,3,1500.0,flat,rent,75.0,False,3,1,"Blasco de Garay, 18",Madrid,Madrid,Chamberí,Arapiles,40.4314084,-3.7116545,True,https://www.idealista.com/inmueble/81247753/,good,False,True,"{'type': 'Point', 'coordinates': (40.4314084, -3.7116545)}"
